H_Open,H_High,H_Low,H_Close,H_Volume,H_Dividends,H_Stock Splits,H_Asset_Name,Datetime,A_Open,A_High,A_Low,A_Close,A_Volume,A_Asset_Name,FX_Open,FX_High,FX_Low,FX_Close,FX_Volume,FX_Dividends,FX_Stock Splits,FX_Asset_Name,Premium_Discount
14.319999694824219,14.319999694824219,13.359999656677246,13.479999542236328,2102500.0,0.0,0.0,9995.hk,2025-01-01 16:00:00+00:00,30.15,30.35,28.16,28.7,29839.0,688331.SH,1.0636999607086182,1.0636999607086182,1.0636999607086182,1.0636999607086182,0.0,0.0,0.0,CNYHKD=X,0.44155909800633564
13.180000305175781,13.640000343322754,13.039999961853027,13.119999885559082,1310000.0,0.0,0.0,9995.hk,2025-01-02 16:00:00+00:00,28.66,28.9,27.8,28.03,25133.0,688331.SH,1.0649000406265259,1.065000057220459,1.0648000240325928,1.065000057220459,0.0,0.0,0.0,CNYHKD=X,0.4395022496234267
13.319999694824219,13.680000305175781,13.0,13.180000305175781,1599000.0,0.0,0.0,9995.hk,2025-01-05 16:00:00+00:00,28.13,29.09,27.0,27.48,50793.0,688331.SH,1.0621000528335571,1.0621000528335571,1.0621000528335571,1.0621000528335571,0.0,0.0,0.0,CNYHKD=X,0.4515785050251382
13.140000343322754,13.359999656677246,12.960000038146973,13.300000190734863,1339500.0,0.0,0.0,9995.hk,2025-01-06 16:00:00+00:00,27.48,28.0,27.0,27.61,37197.0,688331.SH,1.0613000392913818,1.061400055885315,1.0613000392913818,1.0613000392913818,0.0,0.0,0.0,CNYHKD=X,0.4538862853185601
13.260000228881836,13.260000228881836,12.220000267028809,12.5,1948000.0,0.0,0.0,9995.hk,2025-01-07 16:00:00+00:00,27.74,27.8,25.5,25.9,62300.0,688331.SH,1.0609999895095825,1.0611000061035156,1.0609999895095825,1.0609999895095825,0.0,0.0,0.0,CNYHKD=X,0.45487793345649585
12.520000457763672,12.5600004196167,12.0600004196167,12.119999885559082,1378000.0,0.0,0.0,9995.hk,2025-01-08 16:00:00+00:00,25.65,26.4,25.35,25.63,34140.0,688331.SH,1.0607999563217163,1.0607999563217163,1.0606000423431396,1.0606000423431396,0.0,0.0,0.0,CNYHKD=X,0.4458639604862661
12.180000305175781,12.319999694824219,11.619999885559082,11.739999771118164,1612500.0,0.0,0.0,9995.hk,2025-01-09 16:00:00+00:00,25.82,26.07,24.46,24.46,38455.0,688331.SH,1.0608999729156494,1.0608999729156494,1.0607999563217163,1.0607999563217163,0.0,0.0,0.0,CNYHKD=X,0.45245786571046764
11.619999885559082,12.359999656677246,11.520000457763672,12.079999923706055,1514500.0,0.0,0.0,9995.hk,2025-01-12 16:00:00+00:00,24.19,26.45,24.11,25.93,42641.0,688331.SH,1.0614999532699585,1.0614999532699585,1.0614999532699585,1.0614999532699585,0.0,0.0,0.0,CNYHKD=X,0.43887863082587003
12.199999809265137,12.4399995803833,12.119999885559082,12.380000114440918,816750.0,0.0,0.0,9995.hk,2025-01-13 16:00:00+00:00,26.09,26.81,25.82,26.8,36667.0,688331.SH,1.061400055885315,1.0614999532699585,1.061400055885315,1.061400055885315,0.0,0.0,0.0,CNYHKD=X,0.4352178994303343
12.380000114440918,12.539999961853027,12.020000457763672,12.380000114440918,748000.0,0.0,0.0,9995.hk,2025-01-14 16:00:00+00:00,26.7,27.06,26.13,26.42,29566.0,688331.SH,1.0616999864578247,1.0616999864578247,1.0614999532699585,1.0615999698638916,0.0,0.0,0.0,CNYHKD=X,0.4413945208993332
